0.000000, 0.000000
0.085388, 2.064484
0.340967, 4.114865
0.764993, 6.137137
1.354569, 8.117487
2.105667, 10.042386
3.013156, 11.898685
4.070838, 13.673704
5.271487, 15.355318
6.606902, 16.932039
8.067961, 18.393098
9.644682, 19.728513
11.326296, 20.929162
13.101315, 21.986844
14.957614, 22.894333
16.882513, 23.645431
18.862863, 24.235007
20.885135, 24.659033
22.935516, 24.914612
25.000000, 25.000000
25.000000, 25.000000
23.620690, 25.000000
22.241379, 25.000000
20.862069, 25.000000
19.482759, 25.000000
18.103448, 25.000000
16.724138, 25.000000
15.344828, 25.000000
13.965517, 25.000000
12.586207, 25.000000
11.206897, 25.000000
9.827586, 25.000000
8.448276, 25.000000
7.068966, 25.000000
5.689655, 25.000000
4.310345, 25.000000
2.931034, 25.000000
1.551724, 25.000000
0.172414, 25.000000
-1.206897, 25.000000
-2.586207, 25.000000
-3.965517, 25.000000
-5.344828, 25.000000
-6.724138, 25.000000
-8.103448, 25.000000
-9.482759, 25.000000
-10.862069, 25.000000
-12.241379, 25.000000
-13.620690, 25.000000
-15.000000, 25.000000
-15.000000, 25.000000
-12.935516, 24.914612
-10.885135, 24.659033
-8.862863, 24.235007
-6.882513, 23.645431
-4.957614, 22.894333
-3.101315, 21.986844
-1.326296, 20.929162
0.355318, 19.728513
1.932039, 18.393098
3.393098, 16.932039
4.728513, 15.355318
5.929162, 13.673704
6.986844, 11.898685
7.894333, 10.042386
8.645431, 8.117487
9.235007, 6.137137
9.659033, 4.114865
9.914612, 2.064484
10.000000, 0.000000
