% J 	EffMax 	Beta075          CT 	        CP	
0.096	0.594	0		NaN 		NaN
0.142	0.718	5		7.153E-4	0.004089	
0.204	0.800	10		9.814E-4	0.004092	
0.262	0.847	15 		0.001361	0.004595	
0.329	0.872	20 		0.001665	0.004597	
0.403	0.881	25 		0.002159	0.004851	
0.483	0.888	30		0.002880	0.005357	
0.576	0.886	35 		0.003906	0.006116	
