-6   -0.546  0.17710396
-4   -0.321  0.05407725
-2   -0.096  0.01441237
0     0.130  0.00752445
2     0.355  0.00837557
4     0.581  0.01029411
6     0.805  0.01537092
8     1.028  0.04085496
10    1.250  0.10166036
11    1.361  0.12964123
12    1.471  0.14223007
